ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y
1994.21.1,1994,Art Cronicles,Alex Sweetman,Photography,Denver International Airport,,,3232019.864,1736016.682
1932.2.1,1932,Eagle ,Nicolosi,Bronze,City and County Building,On top of building,Painted in 1949 with 23 karat gold leaf.  Measures 6ft 6in.,3143105.998,1694543.813
2007.1.1,"20072007",Aerial,"John Davis","Metal and Concrete",Denver Skate Park ,Little Raven St and 20th St,,3139790.474,1701942.746
2007.2.1,2007,Life of the Mind,John McEnroe,Plastic,"Green Valley Ranch SchoolGreen Valley Ranch School",4100 Jericho St,,3206267.78,1712126.642
2008.1.1,2008,Villa Park Gateway,Gary Sweeney,Steel and Stone,Villa Park,8th Ave and Grove St,,3133259.328,1690917.91
2008.2.1,2008,Fault Shadows,Patrick Marold,Steel and Glass gate and Rail Element,Gates Tennis Center,3300 East Bayaud Ave,,3155181.163,1685457.178
2008.5.1,2008,Westwood Renaissance,Daniel Salazar,Photo Installation,Westwood Community Center,980 S Lowell St,,3131478.199,1680193.889
2008.6.1,2008,"Untitled",Conor Hollis,Powder Coated Steel,Aquagolf,501 W Florida Ave,,3142315.865,1676596.935
2008.7.1,2008,National Velvet,John McEnroe,"Fiberglass, Resin, Sand and Steel",Highlands Bridge Overpass,,,3138210.492,1701278.166
2008.8.1,2008,Tradition,Joseph Cipri,Bronze,"Stapleton Fire Station","7934 Martin Luther King Blvd",,3169861.703,1702163.82
1953.1.1,1953,Old Courthouse Bell,Carol Candelaria Rothberg and or Fl,,14th and Larimer,West side of the Street,,3140542.628,1697451.72
2003.30.1,2003,Portrait of Hiwatha Davis , Robert Evans,Acrylic Painting,Hiawatha Davis Rec Center,,,3162514.817,1703820.59
2003.31.1,2003,Davis Rec in Motion,Gary Emrich,Video Installation,Hiawatha Davis Rec Center,,,3162544.33,1703806.701
2006.26.1,2006,Antique Gold and Aquamarine Chandelier,Dale Chihuly,Glass,Ellie Caulkins Opera House,Atrium of Opera House,,3141353.176,1696581.308
2005.8.1,2005,Good Fortune is Here to Stay,Yuan Xiao Ceng,Bronze,Denver Zoo,,,3153810.689,1698472.261
1920.5.1,1920,Elk Group and Buffalo,Allen True,Oil Painting on Canvas,Civic Center Park,North Portico,,3143698.733,1694948.978
1995.9.1,1995,Leap of Faith,Patty Ortiz,Painted Steel,Speer Boulevard Access Ramp at Wewatta,,,3139316.493,1698525.465
2001.2.1,2001,Common Ground,Barbara Grygutis,Stone,Commons Park,Little Raven St. and 15th St.,,3138888.518,1700334.591
1997.2.1,1997,Big Wheel,Ed Carpenter,Steel and Concrete,Broadway Viaduct,,,3143843.085,1703031.536
1998.5.1,1998,"Earth, Air, Fire, and Water",Nancy Lovendahl,Stone,Rockmont Park Cuernavaca Park,,,3140288.691,1702328.95
1906.1.1,1906,Sundial,Unknown,Bronze and Marble,City Park,West of the Pavillion,,3153791.953,1697131.668
1991.2.1,1991,A Good Catch,Peter Kola,Oil painting,Denver Police Department,,,3142752.642,1694005.869
1991.3.1,1991,Eagles Choice,Peter Kola,Oil painting,Denver Police Department,,,3142756.542,1694034.463
1991.4.1,1991,Deer Family Grazing,Peter Kola,Oil painting,Denver Police Department,,,3142743.545,1694050.058
1991.6.1,1991,Wayward Winds,Peter Kola,Oil painting,Denver Police Department,,,3142744.845,1694022.766
1993.15.1,1993,Arctic Sojourn,Kenneth Bunn,Bronze,Denver Zoo,,,3154836.701,1698717.166
1993.5.1,1993,Neighborhood Epic,Martha Keating and Bob Luna,Tile Mosiac,20th St. Viaduct,,,3139251.513,1702827.851
1993.13.1,1993,A Life in Harmony with all Creation,"Ken and Judith Williams, and Maria",Ceramic Mosiac,15th Street Underpass,,,3139323.769,1699494.967
1996.6.1,1996,River Glyph ,Andrew Dufford,Sandblasted Concrete/Lithochrome Dye,City of Cuernavaca Park,"Along Park Paths, I-25 and 20th St.",,3139658.934,1702377.383
1993.14.1,1993,Frog,Susan Raymond,Bronze,Denver Zoo,,,3154714.074,1698668.115
